gene,species
CD9,human
CD10,human
CD63,human
CD81,human
HGS,human
STAM1,human
TSG101,human
PDCD6IP,human
CHMP1,human
CHMP4B,human
CHMP5,human
IST1,human
VPS4A,human
VPS4B,human
CHMP4B,human
ARF6,human
LC3B,human
FAN,human
HSC70,human
GABARAPL1,human
SDCBP,human
SDC4,human
ATG5,human
ATG16L1,human
BST2,human
HSPA8 ,human
HSPA1A,human
SMPD3,human
PLD2,human
DGKA,human
LAMP2A,human
RAB31,human
RAB27A,human
RAB27B,human
RAB11A,human
RAB35,human
SYTL4,human
EXPH5,human
ALIX,human
CHMP4A,human
CHMP4C,human
RAB2B,human
RAB5A,human
RAB9A,human
YKT6,human
STX4,human
SNAP23,human
VAMP7,human
RALA,human
RALB,human
STEAP3,human
HPSE,human
UNC13D,human
WWC1,human
KIBRA,human
PRKD1,human
PKD1,human
TBC1D2B,human
FLOT2,human
CAV1,human
VPS22,human
CHMP3,human
